NOTICE: Existing SQLite export found: rep_r0.sqlite
        It is assumed file was previously exported from: rep_r0.nsys-rep
        Consider using --force-export=true if needed.
Processing [rep_r0.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
48.3,5720320,1592,3593.2,3616.0,1504,5600,482.8,[CUDA memcpy Device-to-Host]
47.8,5654880,1548,3653.0,3584.0,2432,5536,465.8,[CUDA memcpy Host-to-Device]
3.9,456352,204,2237.0,1632.0,1344,5408,1064.1,[CUDA memcpy Device-to-Device]
